Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
1830,249.970945727796,0,0,0,6.88669074480479e-12,0.0290542721946446,0,0,0,62,0.1,1e-4,249.99999999999753
1860,249.9709457278,0,0,0,3.96202675167292e-12,0.0290542721946459,0,0,0,63,0.1,1e-4,249.9999999999986
1890,249.970945727803,0,0,0,2.2794193267373697e-12,0.0290542721946466,0,0,0,64,0.1,1e-4,249.99999999999994
1920,249.970945727804,0,0,0,1.31138752783784e-12,0.0290542721946471,0,0,0,65,0.1,1e-4,249.99999999999997
1950,249.970945727805,0,0,0,7.54462870432072e-13,0.0290542721946473,0,0,0,66,0.1,1e-4,250.0000000000004
1980,249.970945727804,0,0,0,4.34054930962394e-13,0.0290542721946475,0,0,0,67,0.1,1e-4,249.9999999999991
0,250,0,0,0,0,0,0,0,0,1,0.1,2e-4,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,2e-4,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,2e-4,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,2e-4,250.000018876751
120,244.229932639139,0,0,0,12.0687492571695,0.00235154477462215,0,0,0,5,0.1,2e-4,256.3010334410831
150,229.864049287313,0,0,0,25.0181797978012,0.00968253525141122,0,0,0,6,0.1,2e-4,254.89191162036562
180,218.06555733842399,0,0,0,33.6658071411068,0.0195678375553342,0,0,0,7,0.1,2e-4,251.75093231708613
210,214.781373487937,0,0,0,28.7997938334506,0.0294587874448753,0,0,0,8,0.1,2e-4,243.6106261088325
240,222.558475495423,0,0,0,20.9635239446898,0.0376700238102766,0,0,0,9,0.1,2e-4,243.5596694639231
270,230.764685458683,0,0,0,14.4040978019466,0.0444936817131567,0,0,0,10,0.1,2e-4,245.21327694234276
300,237.298776111889,0,0,0,9.44341567996144,0.0493983054281989,0,0,0,11,0.1,2e-4,246.79159009727863
330,241.950691745154,0,0,0,5.94919215437595,0.0527181181127467,0,0,0,12,0.1,2e-4,247.95260201764268
360,245.04367693711,0,0,0,3.63479527169561,0.0548475019084985,0,0,0,13,0.1,2e-4,248.7333197107141
390,247.004619292406,0,0,0,2.17278865438499,0.0561644945117115,0,0,0,14,0.1,2e-4,249.2335724413027
420,248.206883601165,0,0,0,1.279947002469,0.0569580628552291,0,0,0,15,0.1,2e-4,249.54378866648923
450,248.927229739678,0,0,0,0.746956918936873,0.0574280391927228,0,0,0,16,0.1,2e-4,249.7316146978076
480,249.352285347157,0,0,0,0.433396660320855,0.0577032626181484,0,0,0,17,0.1,2e-4,249.843385270096
510,249.60064524662,0,0,0,0.250589162621713,0.0578633058009731,0,0,0,18,0.1,2e-4,249.90909771504266
540,249.74487184655,0,0,0,0.144591700231879,0.0579559701721699,0,0,0,19,0.1,2e-4,249.94741951695406
570,249.828311666565,0,0,0,0.0833297698995186,0.0580094832382192,0,0,0,20,0.1,2e-4,249.96965091970276
600,249.876475021383,0,0,0,0.0479901650425086,0.0580403390213118,0,0,0,21,0.1,2e-4,249.9825055254468
630,249.904238577123,0,0,0,0.0276266288210336,0.0580581144133644,0,0,0,22,0.1,2e-4,249.9899233203574
660,249.92023007544,0,0,0,0.0159001668459563,0.0580683490307893,0,0,0,23,0.1,2e-4,249.99419859131675
