Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
1950,249.787759414291,0,0,0,6.01719736052478e-14,0.212240585708608,0,0,0,66,0.1,0.001,2,249.99999999999966
1980,249.787759414291,0,0,0,3.46253063954835e-14,0.212240585708608,0,0,0,67,0.1,0.001,2,249.99999999999966
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,3,250
30,187.442321368681,0,0,0,53.5655701830912,0.00678027827088865,0,0,0,2,0.1,0.001,3,241.01467183004308
60,204.6558702774,0,0,0,78.2382841099848,0.0797684939363106,0,0,0,3,0.1,0.001,3,282.97392288132113
90,204.513508558768,0,0,0,37.3270558113646,0.139088707278257,0,0,0,4,0.1,0.001,3,241.97965307741086
120,210.871955383524,0,0,0,29.9190881720355,0.194677730249114,0,0,0,5,0.1,0.001,3,240.98572128580864
150,220.594129929239,0,0,0,21.8230031889352,0.246130552824391,0,0,0,6,0.1,0.001,3,242.6632636709986
180,229.437109561198,0,0,0,15.1081106601402,0.287343818032385,0,0,0,7,0.1,0.001,3,244.8325640393706
210,236.301725778455,0,0,0,9.9634819774064,0.317296845840155,0,0,0,8,0.1,0.001,3,246.58250460170154
240,241.179640128183,0,0,0,6.30660949521439,0.337695789003785,0,0,0,9,0.1,0.001,3,247.82394541240117
270,244.433840772037,0,0,0,3.86753847305806,0.350874183135179,0,0,0,10,0.1,0.001,3,248.65225342823024
300,246.505335291676,0,0,0,2.31855210424682,0.359067859292451,0,0,0,11,0.1,0.001,3,249.18295525521526
330,247.779856746925,0,0,0,1.36882620949933,0.364025342811189,0,0,0,12,0.1,0.001,3,249.5127082992355
360,248.545647124235,0,0,0,0.800210151305728,0.366970209990081,0,0,0,13,0.1,0.001,3,249.7128274855308
390,248.998514883074,0,0,0,0.464953589893475,0.368698704917126,0,0,0,14,0.1,0.001,3,249.8321671778846
420,249.263589189049,0,0,0,0.269162682829133,0.369705613661954,0,0,0,15,0.1,0.001,3,249.90245748554008
450,249.417743985589,0,0,0,0.155478651067623,0.370289451434789,0,0,0,16,0.1,0.001,3,249.9435120880914
480,249.507037986994,0,0,0,0.0896953632412814,0.370627029727483,0,0,0,17,0.1,0.001,3,249.96736037996277
510,249.558637678566,0,0,0,0.0517064999182019,0.370821893181378,0,0,0,18,0.1,0.001,3,249.98116607166557
540,249.588412726635,0,0,0,0.0297942499144446,0.370934265179648,0,0,0,19,0.1,0.001,3,249.9891412417291
570,249.605579657271,0,0,0,0.017163711109935,0.370999029416324,0,0,0,20,0.1,0.001,3,249.99374239779726
600,249.615472453956,0,0,0,0.00988615175339667,0.371036342962779,0,0,0,21,0.1,0.001,3,249.99639494867216
630,249.621171747665,0,0,0,0.00569386566891745,0.371057836761705,0,0,0,22,0.1,0.001,3,249.9979234500956
660,249.624454595578,0,0,0,0.00327918816766814,0.371070216482829,0,0,0,23,0.1,0.001,3,249.9988040002285
690,249.62634536547299,0,0,0,0.00188848466647939,0.371077346330409,0,0,0,24,0.1,0.001,3,249.99931119646988
720,249.62743430167,0,0,0,0.00108756113016623,0.371081452466127,0,0,0,25,0.1,0.001,3,249.9996033152663
750,249.62806142397,0,0,0,6.2631081595307e-4,0.371083817170945,0,0,0,26,0.1,0.001,3,249.99977155195688
780,249.628422579286,0,0,0,3.6068148900506e-4,0.371085178976633,0,0,0,27,0.1,0.001,3,249.99986843975162
810,249.628630563869,0,0,0,2.0770955533541e-4,0.371085963218861,0,0,0,28,0.1,0.001,3,249.99992423664318
840,249.628750338711,0,0,0,1.1961574178479e-4,0.371086414849608,0,0,0,29,0.1,0.001,3,249.9999563693024
870,249.628819314792,0,0,0,6.88842226633763e-5,0.371086674934869,0,0,0,30,0.1,0.001,3,249.99997487394953
