"Time","WW","WM","WR","MM","MR","RR"
1362,1.21643909904e-22,17.9344344195044,0,232.008469533063,0,0
1363,1.12084678109173e-22,17.9133013375905,0,232.029745434707,0,0
1364,1.03275321211542e-22,17.8922178011908,0,232.050971256595,0,0
1365,9.51571220991544e-23,17.87118363676,0,232.072147174932,0,0
1366,8.76759527467792e-23,17.850198671561,0,232.093273365095,0,0
1367,8.07819162448312e-23,17.8292627336594,0,232.114350001646,0,0
1368,7.4429016696102e-23,17.8083756519196,0,232.135377258329,0,0
1369,6.85748548152678e-23,17.7875372559996,0,232.15635530808,0,0
1370,6.31803472339978e-23,17.7667473763466,0,232.177284323027,0,0
1371,5.8209467669338e-23,17.7460058441927,0,232.198164474501,0,0
1372,5.36290082559234e-23,17.7253124915499,0,232.218995933034,0,0
1373,4.94083594743929e-23,17.704667151206,0,232.239778868368,0,0
1374,4.55193072299966e-23,17.68406965672,0,232.260513449459,0,0
1375,4.19358457475908e-23,17.6635198424176,0,232.28119984448,0,0
1376,3.86340050527287e-23,17.6430175433869,0,232.301838220827,0,0
1377,3.55916919040564e-23,17.6225625954739,0,232.32242874512,0,0
1378,3.2788543130325e-23,17.6021548352786,0,232.342971583214,0,0
1379,3.02057904066074e-23,17.5817941001498,0,232.363466900197,0,0
1380,2.78261355792857e-23,17.5614802281816,0,232.383914860399,0,0
1381,2.56336357185457e-23,17.5412130582091,0,232.404315627393,0,0
1382,2.36135971409209e-23,17.5209924298036,0,232.424669364002,0,0
1383,2.17524777032888e-23,17.500818183269,0,232.444976232301,0,0
1384,2.00377967240175e-23,17.4806901596375,0,232.465236393623,0,0
1385,1.84580519370471e-23,17.460608200665,0,232.485450008562,0,0
1386,1.7002642930888e-23,17.4405721488278,0,232.505617236977,0,0
1387,1.56618005671364e-23,17.4205818473178,0,232.525738238,0,0
1388,1.44265219124128e-23,17.4006371400388,0,232.545813170035,0,0
1389,1.32885102538888e-23,17.3807378716024,0,232.565842190763,0,0
1390,1.22401198020106e-23,17.360883887324,0,232.585825457152,0,0
1391,1.12743047148717e-23,17.3410750332188,0,232.605763125449,0,0
1392,1.0384572107143e-23,17.321311155998,0,232.625655351199,0,0
1393,9.56493873270213e-24,17.3015921030646,0,232.645502289237,0,0
1394,8.8098910543162e-24,17.2819177225097,0,232.665304093699,0,0
1395,8.11434843604505e-24,17.2622878631086,0,232.685060918021,0,0
1396,7.47362921462622e-24,17.2427023743172,0,232.704772914947,0,0
1397,6.88341942508655e-24,17.2231611062673,0,232.724440236532,0,0
1398,6.33974397333809e-24,17.2036639097644,0,232.744063034143,0,0
1399,5.83894006466492e-24,17.184210636282,0,232.763641458466,0,0
1400,5.37763271190192e-24,17.1648011379596,0,232.783175659509,0,0
1401,4.95271216084097e-24,17.1454352675979,0,232.802665786608,0,0
1402,4.56131308306773e-24,17.1261128786554,0,232.822111988424,0,0
1403,4.20079539811233e-24,17.106833825245,0,232.841514412955,0,0
1404,3.86872659757044e-24,17.08759796213,0,232.860873207532,0,0
1405,3.56286545378384e-24,17.0684051447206,0,232.880188518832,0,0
1406,3.28114700483073e-24,17.0492552290705,0,232.899460492873,0,0
1407,3.02166871602239e-24,17.030148071873,0,232.91868927502,0,0
1408,2.78267772589276e-24,17.0110835304577,0,232.937875009991,0,0
1409,2.56255909184916e-24,16.9920614627868,0,232.95701784186,0,0
1410,2.3598249572762e-24,16.973081727452,0,232.976117914059,0,0
1411,2.17310456799113e-24,16.9541441836703,0,232.995175369383,0,0
1412,2.00113507158046e-24,16.9352486912813,0,233.01419034999,0,0
1413,1.84275303833919e-24,16.9163951107434,0,233.033162997413,0,0
1414,1.696886647322e-24,16.8975833031303,0,233.052093452554,0,0
1415,1.56254848542916e-24,16.878813130128,0,233.07098185569,0,0
1416,1.43882891152006e-24,16.8600844540311,0,233.08982834648,0,0
1417,1.32488994129988e-24,16.8413971377393,0,233.108633063969,0,0
1418,1.21995961218383e-24,16.8227510447548,0,233.127396146583,0,0
1419,1.12332679053411e-24,16.8041460391782,0,233.146117732141,0,0
1420,1.0343363866047e-24,16.7855819857057,0,233.164797957856,0,0
1421,9.5238494524069e-25,16.7670587496258,0,233.183436960337,0,0
1422,8.76916582878757e-25,16.748576196816,0,233.202034875591,0,0
1423,8.07419243699206e-25,16.7301341937393,0,233.220591839031,0,0
1424,7.43421249905109e-25,16.7117326074416,0,233.239107985476,0,0
1425,6.84488123062296e-25,16.6933713055482,0,233.257583449154,0,0
1426,6.30219655239627e-25,16.6750501562605,0,233.276018363706,0,0
1427,5.80247210353473e-25,16.6567690283532,0,233.29441286219,0,0
1428,5.34231237654785e-25,16.6385277911709,0,233.312767077084,0,0
1429,4.91858980711595e-25,16.6203263146255,0,233.331081140285,0,0
1430,4.52842366543796e-25,16.6021644691923,0,233.349355183119,0,0
1431,4.1691606076899e-25,16.5840421259077,0,233.367589336342,0,0
1432,3.83835675726244e-25,16.5659591563661,0,233.385783730137,0,0
1433,3.53376119565924e-25,16.5479154327163,0,233.403938494127,0,0
1434,3.25330075235251e-25,16.5299108276593,0,233.422053757371,0,0
1435,2.99506599157046e-25,16.5119452144446,0,233.440129648368,0,0
1436,2.75729830199015e-25,16.494018466868,0,233.458166295062,0,0
1437,2.53837800268268e-25,16.476130459268,0,233.476163824845,0,0
1438,2.33681338545334e-25,16.4582810665231,0,233.494122364558,0,0
1439,2.1512306199837e-25,16.4404701640492,0,233.512042040497,0,0
1440,1.98036445395581e-25,16.4226976277963,0,233.529922978409,0,0
1441,1.8230496456604e-25,16.4049633342459,0,233.547765303505,0,0
1442,1.67821307149552e-25,16.3872671604083,0,233.565569140456,0,0
1443,1.54486645528237e-25,16.3696089838191,0,233.583334613399,0,0
1444,1.42209967049176e-25,16.3519886825373,0,233.601061845935,0,0
1445,1.30907457031391e-25,16.334406135142,0,233.61875096114,0,0
1446,1.20501930404384e-25,16.3168612207296,0,233.636402081559,0,0
1447,1.10922308151549e-25,16.2993538189112,0,233.654015329216,0,0
1448,1.02103135032401e-25,16.2818838098101,0,233.671590825613,0,0
1449,9.39841353345516e-26,16.2644510740584,0,233.689128691734,0,0
1450,8.65098036616592e-26,16.2470554927951,0,233.706629048045,0,0
1451,7.9629027998857e-26,16.2296969476628,0,233.724092014502,0,0
1452,7.32947425139588e-26,16.2123753208055,0,233.741517710551,0,0
1453,6.74636077525537e-26,16.1950904948655,0,233.758906255127,0,0
1454,6.20957160692203e-26,16.1778423529814,0,233.776257766664,0,0
1455,5.71543203067626e-26,16.1606307787846,0,233.793572363093,0,0
1456,5.26055838917254e-26,16.1434556563978,0,233.810850161846,0,0
1457,4.84183506585252e-26,16.1263168704312,0,233.828091279854,0,0
1458,4.4563932847298e-26,16.1092143059811,0,233.845295833559,0,0
1459,4.10159158429075e-26,16.0921478486265,0,233.86246393891,0,0
1460,3.77499783352867e-26,16.075117384427,0,233.879595711367,0,0
1461,3.47437266851629e-26,16.0581227999201,0,233.896691265901,0,0
1462,3.19765423749273e-26,16.0411639821188,0,233.913750717002,0,0
1463,2.94294415126082e-26,16.0242408185093,0,233.93077417868,0,0
1464,2.70849454381658e-26,16.007353197048,0,233.947761764462,0,0
1465,2.49269615562011e-26,15.9905010061595,0,233.964713587402,0,0
1466,2.29406735881607e-26,15.973684134734,0,233.98162976008,0,0
1467,2.11124405006851e-26,15.9569024721251,0,233.998510394601,0,0
1468,1.94297034253081e-26,15.9401559081468,0,234.015355602606,0,0
1469,1.78808999386807e-26,15.9234443330719,0,234.032165495268,0,0
1470,1.64553851222038e-26,15.906767637629,0,234.048940183294,0,0
1471,1.51433588657558e-26,15.8901257130005,0,234.065679776932,0,0
1472,1.39357989224071e-26,15.87351845082,0,234.08238438597,0,0
1473,1.28243992598834e-26,15.8569457431702,0,234.099054119738,0,0
1474,1.18015132903645e-26,15.8404074825802,0,234.115689087113,0,0
1475,1.08601015932017e-26,15.823903562024,0,234.132289396521,0,0
1476,9.993683775535e-27,15.807433874917,0,234.148855155935,0,0
1477,9.19629414380344e-27,15.790998315115,0,234.165386472885,0,0
1478,8.46244088493657e-27,15.7745967769109,0,234.18188345445,0,0
1479,7.78706847978885e-27,15.7582291550331,0,234.198346207273,0,0
1480,7.16552309327197e-27,15.7418953446431,0,234.214774837551,0,0
1481,6.59352070581214e-27,15.7255952413329,0,234.231169451045,0,0
1482,6.06711776934078e-27,15.7093287411234,0,234.247530153082,0,0
1483,5.58268418814386e-27,15.6930957404619,0,234.263857048552,0,0
1484,5.13687844066281e-27,15.67689613622,0,234.280150241914,0,0
1485,4.72662467286489e-27,15.6607298256911,0,234.2964098372,0,0
1486,4.34909160717982e-27,15.6445967065888,0,234.312635938012,0,0
1487,4.0016731233242e-27,15.6284966770443,0,234.32882864753,0,0
1488,3.68197037868726e-27,15.6124296356047,0,234.344988068508,0,0
1489,3.38777534640843e-27,15.5963954812305,0,234.361114303283,0,0
1490,3.11705565890871e-27,15.5803941132935,0,234.377207453772,0,0
1491,2.86794065351013e-27,15.5644254315752,0,234.393267621474,0,0
1492,2.63870852494864e-27,15.5484893362639,0,234.409294907476,0,0
1493,2.42777449711307e-27,15.5325857279535,0,234.425289412453,0,0
1494,2.23367993327476e-27,15.5167145076409,0,234.441251236668,0,0
1495,2.05508231045827e-27,15.5008755767243,0,234.457180479978,0,0
1496,1.89074598948405e-27,15.4850688370006,0,234.473077241835,0,0
1497,1.73953371763092e-27,15.4692941906643,0,234.488941621285,0,0
1498,1.60039880585493e-27,15.4535515403045,0,234.504773716973,0,0
1499,1.47237792709559e-27,15.4378407889037,0,234.520573627144,0,0
1500,1.35458448643253e-27,15.4221618398355,0,234.536341449648,0,0
1501,1.24620251775254e-27,15.4065145968624,0,234.552077281936,0,0
1502,1.14648106517663e-27,15.3908989641343,0,234.567781221066,0,0
1503,1.05472901080199e-27,15.3753148461864,0,234.583453363707,0,0
1504,9.70310313358386e-28,15.3597621479371,0,234.599093806134,0,0
1505,8.92639625181714e-28,15.3442407746862,0,234.614702644238,0,0
1506,8.21178257489852e-28,15.328750632113,0,234.630279973522,0,0
1507,7.55430466323245e-28,15.3132916262745,0,234.645825889106,0,0
1508,6.9494003370258e-28,15.2978636636032,0,234.661340485728,0,0
1509,6.39287120572294e-28,15.2824666509057,0,234.676823857747,0,0
1510,5.88085369955569e-28,15.2671004953603,0,234.692276099142,0,0
1511,5.40979240456476e-28,15.2517651045158,0,234.707697303516,0,0
1512,4.97641551819586e-28,15.2364603862888,0,234.7230875641,0,0
1513,4.57771225707398e-28,15.2211862489628,0,234.738446973749,0,0
1514,4.21091206191199e-28,15.2059426011857,0,234.753775624951,0,0
1515,3.87346545680484e-28,15.1907293519683,0,234.769073609822,0,0
1516,3.56302643148251e-28,15.1755464106823,0,234.784341020113,0,0
1517,3.27743622552041e-28,15.1603936870588,0,234.799577947209,0,0
1518,3.01470840310487e-28,15.1452710911865,0,234.814784482133,0,0
1519,2.77301511579091e-28,15.1301785335095,0,234.829960715545,0,0
1520,2.55067445882837e-28,15.115115924826,0,234.845106737745,0,0
1521,2.34613883412591e-28,15.1000831762863,0,234.860222638678,0,0
